27.00	14.00	30.00	43.00	40.00	38.00	6.00
27.00	13.00	33.00	38.00	34.00	36.00	30.00
25.00	12.00	25.00	37.00	35.00	42.00	25.00
29.00	11.00	24.00	42.00	32.00	39.00	30.00
24.00	15.00	22.00	42.00	13.00	36.00	27.00
26.00	13.00	28.00	38.00	41.00	33.00	30.00
30.00	20.00	40.00	34.00	30.00	32.00	30.00
22.00	12.00	26.00	39.00	30.00	39.00	28.00
24.00	15.00	25.00	34.00	31.00	32.00	25.00
25.00	13.00	23.00	41.00	42.00	35.00	29.00
36.00	14.00	26.00	44.00	37.00	27.00	26.00
25.00	15.00	27.00	36.00	35.00	37.00	30.00
18.00	12.00	34.00	25.00	30.00	20.00	26.00
22.00	10.00	25.00	31.00	30.00	36.00	24.00
25.00	11.00	25.00	41.00	28.00	43.00	29.00
36.00	17.00	40.00	43.00	30.00	44.00	30.00
26.00	9.00	29.00	37.00	38.00	38.00	25.00
27.00	16.00	33.00	39.00	35.00	41.00	24.00
14.00	20.00	35.00	25.00	46.00	38.00	30.00
28.00	17.00	33.00	44.00	38.00	42.00	27.00
28.00	13.00	30.00	46.00	42.00	47.00	27.00
25.00	12.00	20.00	28.00	20.00	29.00	29.00
25.00	14.00	32.00	32.00	35.00	42.00	26.00
31.00	11.00	22.00	46.00	37.00	41.00	30.00
24.00	17.00	37.00	37.00	26.00	32.00	27.00
35.00	9.00	23.00	41.00	33.00	38.00	27.00
34.00	6.00	17.00	43.00	39.00	34.00	30.00
22.00	11.00	23.00	23.00	21.00	31.00	30.00
34.00	15.00	33.00	50.00	44.00	41.00	30.00
25.00	11.00	31.00	33.00	35.00	39.00	27.00
31.00	13.00	35.00	48.00	47.00	50.00	29.00
32.00	16.00	36.00	48.00	41.00	48.00	30.00
26.00	13.00	29.00	41.00	34.00	37.00	24.00
24.00	14.00	31.00	40.00	33.00	42.00	6.00
23.00	14.00	31.00	38.00	36.00	36.00	30.00
27.00	14.00	30.00	40.00	39.00	40.00	24.00
28.00	14.00	24.00	36.00	29.00	38.00	25.00
31.00	10.00	29.00	41.00	36.00	47.00	28.00
27.00	13.00	24.00	42.00	28.00	40.00	30.00
21.00	11.00	30.00	40.00	40.00	41.00	30.00
29.00	13.00	24.00	36.00	31.00	34.00	28.00
27.00	12.00	26.00	50.00	33.00	40.00	30.00
27.00	15.00	37.00	39.00	36.00	34.00	30.00
35.00	6.00	22.00	31.00	39.00	34.00	30.00
26.00	13.00	31.00	43.00	38.00	35.00	29.00
29.00	7.00	26.00	41.00	25.00	38.00	30.00
26.00	14.00	30.00	41.00	38.00	41.00	30.00
35.00	16.00	40.00	50.00	47.00	50.00	30.00
27.00	10.00	26.00	40.00	30.00	31.00	26.00
32.00	13.00	33.00	49.00	38.00	42.00	26.00
27.00	13.00	33.00	43.00	36.00	39.00	30.00
25.00	14.00	29.00	37.00	29.00	36.00	23.00
28.00	9.00	24.00	40.00	40.00	42.00	30.00
28.00	13.00	29.00	39.00	32.00	34.00	30.00
29.00	15.00	32.00	32.00	30.00	30.00	30.00
27.00	12.00	27.00	39.00	32.00	40.00	30.00
33.00	14.00	38.00	50.00	49.00	47.00	30.00
25.00	17.00	27.00	43.00	43.00	39.00	28.00
23.00	14.00	30.00	32.00	28.00	34.00	30.00
27.00	10.00	32.00	40.00	29.00	41.00	25.00
28.00	15.00	35.00	29.00	38.00	40.00	30.00
27.00	7.00	23.00	33.00	12.00	26.00	26.00
34.00	11.00	34.00	36.00	28.00	42.00	30.00
26.00	10.00	26.00	44.00	30.00	39.00	30.00
22.00	11.00	22.00	32.00	20.00	27.00	26.00
23.00	14.00	23.00	48.00	38.00	42.00	27.00
13.00	6.00	32.00	18.00	31.00	29.00	25.00
